index;name;album;artist;release_date;length;popularity;mode;acousticness;danceability;energy;instrumentalness;liveness;valence;loudness;speechiness;tempo;duration_ms;time_signature;genre;url
2144;A Mala É Falsa - Ao Vivo;1 Dois 3 (Ao Vivo);Felipe Araújo;42846;183986;58;1;0,672;0,672;0,88;0;0,514;0,727;-1,841;0,0341;130,024;183987;4;['funk carioca', 'sertanejo pop', 'sertanejo universitario'];https://open.spotify.com/track/3dyN3yQuMi2UWKRfRY0ISt
2145;Best Part (feat. Daniel Caesar);H.E.R.;H.E.R.;43028;209400;78;0;0,795;0,473;0,371;0;0,109;0,413;-10,219;0,0405;75,208;209400;4;['pop', 'r&b'];https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
2146;Olhares;Olhares;Cynthia Luz;43014;237065;57;0;0,308;0,632;0,781;0;0,087;0,567;-3,871;0,0954;92,035;237065;4;['brazilian edm', 'brazilian hip hop'];https://open.spotify.com/track/4kAdEd8QyzX8lUDF336q4v
2147;A Mais Pedida - Ao Vivo | Acústico;Acústico - Ao Vivo;Raimundos;42853;222784;58;1;0,487;0,604;0,892;0,00000254;0,127;0,755;-3,527;0,0326;127,908;222784;4;['brazilian punk', 'brazilian punk rock', 'brazilian rock', 'hard rock brasileiro', 'rock brasiliense', 'rock nacional brasileiro'];https://open.spotify.com/track/6kCGzPmsyJkzs0UnbXjply
2148;Stay;Stay;Zedd;42789;210090;77;0;0,253;0,69;0,622;0;0,116;0,544;-5,025;0,0622;102,04;210091;4;['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'post-teen pop', 'tropical house'];https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0
2149;It Ain't Me (with Selena Gomez);It Ain't Me (with Selena Gomez);Kygo;42782;220780;77;1;0,119;0,64;0,533;0;0,0864;0,515;-6,596;0,0706;99,968;220781;4;['edm', 'pop', 'tropical house'];https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
2150;Nós;Nós;Various Artists;43086;230392;57;0;0,342;0,54;0,552;0;0,199;0,497;-10,449;0,0885;93,955;230392;4;['reggaeton', 'reggaeton flow'];https://open.spotify.com/track/2EQ7lhlXI1T8nEPqXGVOQg
2151;Promete;Promete;Ana Vilela;42951;198377;57;1;0,156;0,6;0,49;0,00000319;0,116;0,591;-7,012;0,0268;111,826;198377;4;['mpb', 'nova mpb'];https://open.spotify.com/track/7iB72vyGDEcc232lctJdgL
2152;Pra Quando Você Se Lembrar de Mim - Acústico;Acústico Jota Quest;Jota Quest;43000;257479;58;1;0,244;0,693;0,732;0,00000396;0,673;0,588;-9,04;0,0306;119,979;257480;4;['brazilian rock', 'mpb', 'pop rock brasileiro', 'rock mineiro', 'rock nacional brasileiro', 'sertanejo universitario'];https://open.spotify.com/track/5XeAm850eN4fKAdwM21xtF
2153;Perto de Você - Ao Vivo;Realidade - Ao Vivo Em Manaus;Marília Mendonça;42800;171626;57;0;0,603;0,704;0,729;0;0,117;0,493;-5,227;0,052;133,797;171627;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/0cSIHvOAL4LqBpZnib5Ne5
2154;Tokyo Drift;Tokyo Drift;KVSH;42807;222857;70;1;0,053;0,844;0,767;0,0000153;0,166;0,342;-4,851;0,0461;125,989;222857;4;['brazilian edm', 'trance brasileiro'];https://open.spotify.com/track/20WcuVfTh0QFkIsJUncdON
2155;Acordando o Prédio;Acordando o Prédio;Luan Santana;42769;218467;58;0;0,6;0,699;0,739;0,00361;0,389;0,764;-6,198;0,0513;92,989;218467;4;['funk carioca', 'pop nacional'];https://open.spotify.com/track/40bK2uosUmAS92c17n98xd
2156;Energia Surreal - Ao Vivo;Só Vem! (ao Vivo) - Deluxe;Thiaguinho;42951;215129;57;1;0,326;0,512;0,871;0;0,827;0,804;-5,689;0,07;79,965;215129;4;['batidao romantico', 'brega funk', 'brega romantico', 'forro de favela', 'funk carioca'];https://open.spotify.com/track/2P5Hd3ghYMY5PT9yR73gR3
2157;Chave Cópia - Ao Vivo;1 Dois 3 (Ao Vivo);Felipe Araújo;42846;162306;57;1;0,41;0,628;0,867;0;0,797;0,527;-2,801;0,0334;135,902;162307;4;['funk carioca', 'sertanejo pop', 'sertanejo universitario'];https://open.spotify.com/track/3yqHkEXrbIaF7AoeN4diRH
